orderNumber,orderDate,requiredDate,status,customerNumber,amount,paymentMethod
74,2024-02-21,2024-02-21,Processing,94,958.15,PayPal
75,2024-07-20,2024-07-20,Shipped,801,3550.21,Cash
76,2024-07-01,2024-07-01,Processing,893,3715.43,PayPal
77,2024-08-05,2024-08-05,Shipped,354,3845.64,PayPal
78,2024-03-07,2024-03-07,On Hold,819,669.46,Cash
79,2024-11-09,2024-11-09,Shipped,107,1303.42,PayPal
80,2024-02-03,2024-02-03,Cancelled,598,4493.11,Bank Transfer
81,2024-10-23,2024-10-23,Shipped,99,1369.88,Bank Transfer
82,2024-01-15,2024-01-15,Cancelled,319,3178.08,Credit Card
83,2024-03-15,2024-03-15,Processing,293,2487.43,PayPal
84,2024-07-12,2024-07-12,Cancelled,524,5463.61,Bank Transfer
85,2024-01-21,2024-01-21,On Hold,143,4551.75,Bank Transfer
86,2024-07-27,2024-07-27,Cancelled,813,3554.78,Credit Card
87,2024-08-25,2024-08-25,Processing,98,909.98,Cash
88,2024-02-04,2024-02-04,Shipped,992,4974.63,Cash
89,2024-09-04,2024-09-04,On Hold,709,3905.14,Cash
90,2024-02-15,2024-02-15,On Hold,175,7736.74,Bank Transfer
91,2024-01-19,2024-01-19,Shipped,637,6674.16,PayPal
92,2024-01-07,2024-01-07,Shipped,455,6343.82,Bank Transfer
93,2024-03-26,2024-03-26,Cancelled,276,7863.77,Credit Card
94,2024-01-04,2024-01-04,Processing,292,5315.05,Cash
95,2024-11-22,2024-11-22,Shipped,818,9750.17,Credit Card
96,2024-05-14,2024-05-14,On Hold,284,3673.55,Cash
97,2024-04-19,2024-04-19,Cancelled,825,1055.95,Bank Transfer
98,2024-05-16,2024-05-16,Shipped,268,2478.12,Bank Transfer
99,2024-10-09,2024-10-09,Shipped,293,8445.18,PayPal
100,2024-05-28,2024-05-28,Shipped,587,2862.79,Credit Card
101,2024-09-14,2024-09-14,On Hold,362,9469.57,PayPal
102,2024-03-07,2024-03-07,Shipped,811,3088.17,PayPal
103,2024-11-12,2024-11-12,Processing,391,697.26,Credit Card
104,2024-08-09,2024-08-09,On Hold,976,7707.24,Credit Card
105,2024-02-21,2024-02-21,Cancelled,957,9566.73,Cash
106,2024-01-04,2024-01-04,On Hold,705,5615.83,Cash
107,2024-11-25,2024-11-25,Processing,637,844.04,Bank Transfer
108,2024-07-31,2024-07-31,Cancelled,214,7142.27,Cash
109,2024-03-17,2024-03-17,Processing,715,3541.36,Bank Transfer
110,2024-01-18,2024-01-18,On Hold,199,6665.81,Cash
111,2024-02-08,2024-02-08,Shipped,997,4393.6,Cash
112,2024-09-22,2024-09-22,On Hold,238,8889.42,PayPal
113,2024-04-21,2024-04-21,Processing,590,2093.04,Cash
114,2024-04-18,2024-04-18,On Hold,362,6186.67,PayPal
115,2024-01-24,2024-01-24,Shipped,57,7773.3,Cash
116,2024-02-07,2024-02-07,Processing,792,5365.36,PayPal
117,2024-03-03,2024-03-03,Processing,463,7005.32,Bank Transfer
118,2024-05-18,2024-05-18,Processing,857,8554.44,PayPal
119,2024-02-26,2024-02-26,Processing,298,7530.98,PayPal
120,2024-04-05,2024-04-05,Processing,631,4150.47,Cash
121,2024-05-06,2024-05-06,On Hold,430,6968.3,Credit Card
122,2024-08-12,2024-08-12,On Hold,390,5381.46,PayPal
123,2024-08-20,2024-08-20,Cancelled,263,1279.03,PayPal
124,2024-03-16,2024-03-16,Processing,175,3298.49,PayPal
125,2024-10-07,2024-10-07,On Hold,909,3616.17,Cash
126,2024-06-24,2024-06-24,On Hold,750,7748.96,Credit Card
127,2024-08-22,2024-08-22,Shipped,491,7478.17,Cash
128,2024-07-27,2024-07-27,Processing,107,4079.8,Credit Card
129,2024-06-23,2024-06-23,Shipped,875,427.43,PayPal
130,2024-08-24,2024-08-24,Shipped,446,3989.81,Cash
131,2024-03-24,2024-03-24,Shipped,319,2971.86,PayPal
132,2024-02-08,2024-02-08,Shipped,503,9545.97,Credit Card
133,2024-08-24,2024-08-24,On Hold,460,1947.76,Cash
134,2024-10-08,2024-10-08,Cancelled,38,4833.02,Cash
135,2024-01-15,2024-01-15,On Hold,555,485.32,Cash
136,2024-07-28,2024-07-28,On Hold,999,6254.4,PayPal
137,2024-03-12,2024-03-12,Processing,194,670.61,Credit Card
138,2024-02-05,2024-02-05,Processing,556,1417.6,Cash
139,2024-05-26,2024-05-26,Processing,509,3509.94,PayPal
140,2024-11-10,2024-11-10,Processing,928,7895.2,Credit Card
141,2024-07-11,2024-07-11,Shipped,802,1826.33,PayPal
142,2024-09-04,2024-09-04,Cancelled,100,9896.09,Credit Card
143,2024-07-27,2024-07-27,Shipped,27,1741.09,Cash
144,2024-01-19,2024-01-19,On Hold,444,2953.49,Credit Card
145,2024-03-07,2024-03-07,Cancelled,417,9583.66,PayPal
146,2024-05-08,2024-05-08,Shipped,134,2578.37,Bank Transfer
147,2024-10-25,2024-10-25,Cancelled,334,341.37,Bank Transfer
148,2024-03-04,2024-03-04,Processing,114,811.05,PayPal
149,2024-07-09,2024-07-09,On Hold,673,7063.79,Credit Card
150,2024-07-13,2024-07-13,Cancelled,804,3185.04,PayPal
151,2024-11-24,2024-11-24,Shipped,821,409.47,Bank Transfer
152,2024-07-12,2024-07-12,Cancelled,689,3897.75,Bank Transfer
153,2024-08-13,2024-08-13,Processing,769,5602.47,PayPal
154,2024-04-12,2024-04-12,On Hold,267,9467.9,PayPal
155,2024-06-16,2024-06-16,Processing,762,5602.77,Credit Card
156,2024-09-07,2024-09-07,Cancelled,340,3471.63,PayPal
157,2024-01-04,2024-01-04,Cancelled,965,3685.21,Cash
158,2024-01-17,2024-01-17,Cancelled,643,5003.76,PayPal
159,2024-05-04,2024-05-04,Shipped,998,115.07,Cash
160,2024-04-11,2024-04-11,On Hold,794,5212.83,PayPal
161,2024-02-21,2024-02-21,Shipped,648,6330.51,Cash
162,2024-10-24,2024-10-24,Cancelled,884,3382.01,Cash
163,2024-09-08,2024-09-08,Processing,507,2714.19,Bank Transfer
164,2024-10-29,2024-10-29,Shipped,430,8081.95,Cash
165,2024-06-21,2024-06-21,Cancelled,625,9843.83,Bank Transfer
166,2024-02-10,2024-02-10,Shipped,676,8882.77,Credit Card
167,2024-02-19,2024-02-19,On Hold,300,9882.77,Credit Card
168,2024-06-21,2024-06-21,Cancelled,252,7227.88,Credit Card
169,2024-04-20,2024-04-20,Shipped,829,9830.55,Cash
170,2024-04-24,2024-04-24,Processing,262,8711.81,Bank Transfer
171,2024-03-18,2024-03-18,On Hold,241,8789.66,PayPal
172,2024-08-24,2024-08-24,Processing,82,7277.28,Credit Card
173,2024-07-08,2024-07-08,Processing,759,690.2,Credit Card
174,2024-09-01,2024-09-01,Processing,507,2816.63,Bank Transfer
175,2024-08-03,2024-08-03,Processing,708,2084.37,Cash
176,2024-10-24,2024-10-24,Shipped,408,7480.71,Credit Card
177,2024-03-09,2024-03-09,Processing,506,9159.14,Bank Transfer
178,2024-04-24,2024-04-24,On Hold,13,9376.52,Bank Transfer
179,2024-05-29,2024-05-29,Processing,979,3850.61,PayPal
180,2024-08-13,2024-08-13,On Hold,34,9947.16,Bank Transfer
181,2024-04-30,2024-04-30,Shipped,712,418.11,Bank Transfer
182,2024-09-02,2024-09-02,Shipped,194,4067.72,PayPal
183,2024-02-19,2024-02-19,Cancelled,460,478.09,PayPal
184,2024-07-25,2024-07-25,Cancelled,211,712.94,Bank Transfer
185,2024-02-24,2024-02-24,Processing,642,2110.33,Cash
186,2024-07-16,2024-07-16,Shipped,744,2961.98,PayPal
187,2024-09-12,2024-09-12,Processing,852,5651.74,PayPal
188,2024-01-24,2024-01-24,Shipped,435,9378.22,PayPal
189,2024-03-26,2024-03-26,On Hold,972,7631.86,Credit Card
190,2024-06-11,2024-06-11,On Hold,749,2118.59,Credit Card
191,2024-05-05,2024-05-05,On Hold,544,2382.06,PayPal
192,2024-06-01,2024-06-01,On Hold,261,4781.7,Credit Card
193,2024-06-01,2024-06-01,Shipped,869,3376.99,PayPal
194,2024-11-03,2024-11-03,On Hold,383,2867.81,Cash
195,2024-11-13,2024-11-13,On Hold,534,2226.51,PayPal
196,2024-03-09,2024-03-09,Processing,804,9861.64,Cash
197,2024-07-31,2024-07-31,Cancelled,355,2600.4,Cash
198,2024-09-09,2024-09-09,On Hold,761,3179.75,PayPal
199,2024-02-18,2024-02-18,On Hold,457,9890.67,Credit Card
200,2024-01-22,2024-01-22,Cancelled,476,9119.69,Credit Card
201,2024-05-08,2024-05-08,On Hold,560,1145.13,Credit Card
202,2024-08-02,2024-08-02,Cancelled,942,5950.65,PayPal
203,2024-08-20,2024-08-20,On Hold,301,6264.68,Credit Card
204,2024-02-11,2024-02-11,Shipped,486,2567.61,Credit Card
205,2024-04-28,2024-04-28,Cancelled,172,2760.29,Credit Card
206,2024-01-08,2024-01-08,Shipped,490,1470.1,Cash
207,2024-04-12,2024-04-12,Cancelled,963,334.31,Credit Card
208,2024-02-02,2024-02-02,Processing,174,3243.31,Cash
209,2024-05-18,2024-05-18,Processing,186,3681.76,Bank Transfer
210,2024-08-11,2024-08-11,Cancelled,495,9472.56,Bank Transfer
211,2024-01-28,2024-01-28,On Hold,221,3366.19,PayPal
212,2024-10-01,2024-10-01,Cancelled,184,2521.82,Cash
213,2024-02-03,2024-02-03,Cancelled,62,9257.82,PayPal
214,2024-10-24,2024-10-24,Processing,575,7891.26,Cash
215,2024-02-02,2024-02-02,On Hold,298,6907.55,Credit Card
216,2024-10-29,2024-10-29,Shipped,371,9842.43,Credit Card
217,2024-08-09,2024-08-09,On Hold,328,2592.95,PayPal
218,2024-05-24,2024-05-24,On Hold,484,5805.66,Credit Card
219,2024-11-21,2024-11-21,On Hold,993,7452.93,Credit Card
220,2024-02-04,2024-02-04,Processing,442,3391.28,PayPal
221,2024-04-18,2024-04-18,Shipped,491,1512.4,Bank Transfer
222,2024-09-28,2024-09-28,Shipped,447,1005.82,Credit Card
223,2024-07-14,2024-07-14,Cancelled,831,2706.46,Cash
224,2024-09-25,2024-09-25,Cancelled,264,112.73,PayPal
225,2024-05-06,2024-05-06,On Hold,893,9065.02,Cash
226,2024-11-06,2024-11-06,On Hold,22,7272.25,Bank Transfer
227,2024-07-27,2024-07-27,Shipped,390,1766.45,Bank Transfer
228,2024-10-09,2024-10-09,On Hold,173,6316.4,Cash
229,2024-08-24,2024-08-24,On Hold,342,5372.94,Cash
230,2024-02-19,2024-02-19,On Hold,646,4589.32,Bank Transfer
231,2024-10-10,2024-10-10,Processing,327,4120.13,Credit Card
232,2024-07-08,2024-07-08,On Hold,651,1106.31,Cash
233,2024-11-15,2024-11-15,Shipped,113,3181.94,Credit Card
234,2024-09-15,2024-09-15,Shipped,760,7308.47,Cash
235,2024-04-17,2024-04-17,On Hold,376,9032.14,PayPal
236,2024-02-13,2024-02-13,Shipped,428,1690.25,Cash
237,2024-05-22,2024-05-22,Shipped,118,7816.94,Credit Card
238,2024-04-08,2024-04-08,Cancelled,855,7522.41,Bank Transfer
239,2024-09-16,2024-09-16,On Hold,464,2508.98,PayPal
240,2024-01-13,2024-01-13,Shipped,629,2841.63,Bank Transfer
241,2024-02-08,2024-02-08,Shipped,664,6600.78,Bank Transfer
242,2024-02-04,2024-02-04,On Hold,860,4635.19,Credit Card
243,2024-11-01,2024-11-01,On Hold,491,3686.47,Credit Card
244,2024-05-21,2024-05-21,Shipped,694,2725.63,Bank Transfer
245,2024-03-08,2024-03-08,On Hold,899,6842.28,PayPal
246,2024-08-20,2024-08-20,Shipped,756,8469.46,Credit Card
247,2024-06-08,2024-06-08,Processing,157,3231.55,PayPal
248,2024-04-30,2024-04-30,Processing,777,4344.14,Bank Transfer
249,2024-04-22,2024-04-22,Cancelled,633,5675.76,Credit Card
250,2024-09-06,2024-09-06,On Hold,894,2713.71,Bank Transfer
251,2024-02-08,2024-02-08,Shipped,895,3882.96,Bank Transfer
252,2024-01-17,2024-01-17,Processing,517,1008.91,Cash
253,2024-06-13,2024-06-13,Shipped,268,1550.84,PayPal
254,2024-05-08,2024-05-08,On Hold,854,2533.46,Credit Card
255,2024-02-29,2024-02-29,Cancelled,461,3584.14,PayPal
256,2024-08-21,2024-08-21,Shipped,271,1990.77,Bank Transfer
257,2024-01-06,2024-01-06,Cancelled,691,2974.1,Credit Card
258,2024-01-16,2024-01-16,Shipped,961,2295.21,Bank Transfer
259,2024-01-11,2024-01-11,Cancelled,393,6967.89,Credit Card
260,2024-07-29,2024-07-29,Processing,697,2612.79,Cash
261,2024-05-16,2024-05-16,Cancelled,648,6568.84,Credit Card
262,2024-01-22,2024-01-22,Processing,162,9848.77,PayPal
263,2024-09-13,2024-09-13,Cancelled,337,7801.36,PayPal
264,2024-05-04,2024-05-04,Shipped,527,9877.21,Cash
265,2024-09-08,2024-09-08,Processing,245,7308.95,Credit Card
266,2024-02-12,2024-02-12,Cancelled,74,9200.53,PayPal
267,2024-03-21,2024-03-21,Cancelled,843,1934.65,Bank Transfer
268,2024-04-15,2024-04-15,On Hold,447,9743.42,Cash
269,2024-03-01,2024-03-01,Processing,681,2864.06,Cash
270,2024-03-25,2024-03-25,Processing,443,271.73,Credit Card
271,2024-09-10,2024-09-10,On Hold,960,3976.73,Credit Card
272,2024-01-04,2024-01-04,Cancelled,22,7722.86,Bank Transfer
273,2024-04-02,2024-04-02,On Hold,784,7598.84,Credit Card
274,2024-10-23,2024-10-23,On Hold,654,9562.92,Bank Transfer
275,2024-04-04,2024-04-04,Processing,810,3205.29,PayPal
276,2024-08-28,2024-08-28,Processing,64,8852.68,Cash
277,2024-07-28,2024-07-28,Cancelled,663,3588.04,Bank Transfer
278,2024-09-07,2024-09-07,Shipped,412,2415.07,Bank Transfer
279,2024-01-12,2024-01-12,Cancelled,433,6734.28,PayPal
280,2024-02-22,2024-02-22,On Hold,231,3126.87,Cash
281,2024-11-06,2024-11-06,Shipped,299,9576.66,Credit Card
282,2024-03-30,2024-03-30,Cancelled,392,4131.57,Cash
283,2024-04-08,2024-04-08,On Hold,635,6005.2,PayPal
284,2024-07-23,2024-07-23,On Hold,741,9459.6,Cash
285,2024-08-25,2024-08-25,Cancelled,277,3773.85,Credit Card
286,2024-09-03,2024-09-03,Cancelled,584,9562.27,Credit Card
287,2024-02-26,2024-02-26,Shipped,707,5949.88,Bank Transfer
288,2024-05-30,2024-05-30,Shipped,816,3243.06,PayPal
289,2024-06-26,2024-06-26,Shipped,462,7682.57,PayPal
290,2024-03-29,2024-03-29,On Hold,222,8754.63,Credit Card
291,2024-03-14,2024-03-14,On Hold,981,2330.92,PayPal
292,2024-06-17,2024-06-17,Cancelled,486,6685.2,Bank Transfer
293,2024-08-31,2024-08-31,On Hold,716,6722.86,Credit Card
294,2024-09-03,2024-09-03,On Hold,105,7565.35,PayPal
295,2024-04-09,2024-04-09,On Hold,222,7354.75,PayPal
296,2024-06-20,2024-06-20,Shipped,494,2336.09,Bank Transfer
297,2024-06-25,2024-06-25,Shipped,456,7597.88,Cash
298,2024-07-02,2024-07-02,On Hold,169,2119.87,Cash
299,2024-07-16,2024-07-16,Processing,519,4101.98,Credit Card
300,2024-05-25,2024-05-25,Shipped,399,1482.31,Bank Transfer
301,2024-11-05,2024-11-05,On Hold,35,3894.87,Bank Transfer
302,2024-07-01,2024-07-01,Shipped,185,3729.01,Cash
303,2024-10-02,2024-10-02,Shipped,555,7565.75,Credit Card
304,2024-11-01,2024-11-01,Shipped,800,8292.85,PayPal
305,2024-03-23,2024-03-23,Shipped,350,9338.49,Bank Transfer
306,2024-08-19,2024-08-19,On Hold,711,6988.27,Cash
307,2024-08-23,2024-08-23,Cancelled,570,9759.52,Bank Transfer
308,2024-07-16,2024-07-16,Processing,233,2381.2,Cash
309,2024-11-18,2024-11-18,Cancelled,721,9020.75,PayPal
310,2024-09-18,2024-09-18,Cancelled,202,1910.76,Bank Transfer
311,2024-03-17,2024-03-17,On Hold,151,6904.49,Cash
312,2024-01-16,2024-01-16,Cancelled,132,440.48,Cash
313,2024-06-02,2024-06-02,On Hold,796,9762.67,Bank Transfer
314,2024-08-10,2024-08-10,Cancelled,209,6652.52,Bank Transfer
315,2024-09-02,2024-09-02,Shipped,895,9353.44,Cash
316,2024-04-11,2024-04-11,Processing,968,6013.07,Cash
317,2024-03-30,2024-03-30,Shipped,875,3494.04,Cash
318,2024-04-22,2024-04-22,Shipped,663,7740.92,Cash
319,2024-01-25,2024-01-25,Cancelled,931,7540.54,Credit Card
320,2024-03-28,2024-03-28,Processing,899,9828.55,Cash
321,2024-10-22,2024-10-22,On Hold,23,2594.37,Credit Card
322,2024-08-26,2024-08-26,Processing,101,3782.29,Cash
323,2024-03-21,2024-03-21,Shipped,367,1422.56,Cash
324,2024-05-05,2024-05-05,Processing,44,3724.01,Cash
325,2024-08-31,2024-08-31,Shipped,799,5837.66,Cash
326,2024-08-31,2024-08-31,Shipped,287,8486.88,Cash
327,2024-11-19,2024-11-19,On Hold,774,2244.71,Credit Card
328,2024-10-04,2024-10-04,Processing,454,6920.73,Cash
329,2024-08-13,2024-08-13,Processing,772,2568.65,PayPal
330,2024-06-28,2024-06-28,Cancelled,581,6659.5,Cash
331,2024-03-03,2024-03-03,Shipped,510,9195.67,Credit Card
332,2024-11-16,2024-11-16,Shipped,78,6806.76,PayPal
333,2024-06-14,2024-06-14,Shipped,904,4197.31,Credit Card
334,2024-11-09,2024-11-09,Shipped,394,6036.96,Bank Transfer
335,2024-09-27,2024-09-27,Cancelled,595,3078.56,Bank Transfer
336,2024-09-10,2024-09-10,Cancelled,847,5037.84,Credit Card
337,2024-03-21,2024-03-21,Shipped,286,8496.82,Credit Card
338,2024-06-23,2024-06-23,Processing,506,5200.27,PayPal
339,2024-06-12,2024-06-12,On Hold,86,7385.85,PayPal
340,2024-10-17,2024-10-17,On Hold,990,6033.1,Bank Transfer
341,2024-03-14,2024-03-14,Shipped,986,1761.51,Credit Card
342,2024-09-13,2024-09-13,On Hold,504,1256.81,Bank Transfer
343,2024-08-21,2024-08-21,On Hold,487,3093.23,Bank Transfer
344,2024-05-26,2024-05-26,Processing,710,8817.69,Credit Card
345,2024-09-07,2024-09-07,Processing,13,8363.55,Cash
346,2024-01-05,2024-01-05,On Hold,582,9439.29,Bank Transfer
347,2024-07-18,2024-07-18,On Hold,660,3523.5,Credit Card
348,2024-07-11,2024-07-11,Shipped,193,1184.42,Bank Transfer
349,2024-04-04,2024-04-04,Shipped,599,1971.35,Cash
350,2024-04-22,2024-04-22,On Hold,145,4745.93,Cash
351,2024-06-27,2024-06-27,Processing,278,9806.01,Credit Card
352,2024-01-28,2024-01-28,On Hold,222,5829.7,PayPal
353,2024-05-22,2024-05-22,Cancelled,440,5375.06,Credit Card
354,2024-10-10,2024-10-10,Shipped,291,9504.06,Bank Transfer
355,2024-10-06,2024-10-06,Shipped,71,4566.21,Credit Card
356,2024-11-16,2024-11-16,Processing,422,1792.4,Cash
357,2024-07-23,2024-07-23,Processing,930,614.66,Credit Card
358,2024-07-28,2024-07-28,Shipped,818,7133.24,PayPal
359,2024-03-08,2024-03-08,Cancelled,941,3245.4,Credit Card
360,2024-07-19,2024-07-19,Cancelled,309,3433.68,Bank Transfer
361,2024-02-08,2024-02-08,Processing,569,5477.33,Bank Transfer
362,2024-03-27,2024-03-27,On Hold,728,367.19,Cash
363,2024-10-31,2024-10-31,On Hold,103,7736.88,Bank Transfer
364,2024-04-27,2024-04-27,Shipped,560,5630.53,Credit Card
365,2024-11-05,2024-11-05,Shipped,380,7342.67,Cash
366,2024-09-09,2024-09-09,Shipped,910,2130.22,Bank Transfer
367,2024-02-03,2024-02-03,Cancelled,530,8436.12,Bank Transfer
368,2024-11-20,2024-11-20,On Hold,936,3159.4,Credit Card
369,2024-05-03,2024-05-03,Shipped,765,750.61,Cash
370,2024-06-28,2024-06-28,Shipped,592,4326.31,PayPal
371,2024-09-11,2024-09-11,Processing,610,3388.26,Cash
372,2024-08-17,2024-08-17,On Hold,410,632.55,PayPal
373,2024-03-03,2024-03-03,On Hold,578,810.9,Cash
374,2024-03-02,2024-03-02,Cancelled,476,5842.97,Cash
375,2024-03-15,2024-03-15,Shipped,685,9226.11,Cash
376,2024-01-26,2024-01-26,Shipped,256,6553.69,Credit Card
377,2024-01-16,2024-01-16,Processing,782,4329.67,Credit Card
378,2024-04-15,2024-04-15,Shipped,211,1378.3,Cash
379,2024-05-12,2024-05-12,On Hold,129,3461.46,PayPal
380,2024-01-01,2024-01-01,Processing,546,5342.97,Credit Card
381,2024-03-20,2024-03-20,Processing,180,3290.34,Bank Transfer
382,2024-06-27,2024-06-27,On Hold,297,7482.26,Credit Card
383,2024-07-11,2024-07-11,On Hold,289,1268.83,PayPal
384,2024-06-02,2024-06-02,Shipped,990,9163.74,Bank Transfer
385,2024-02-08,2024-02-08,On Hold,965,1419.94,PayPal
386,2024-10-18,2024-10-18,On Hold,174,6857.61,Bank Transfer
387,2024-09-10,2024-09-10,On Hold,35,3218.25,Cash
388,2024-03-25,2024-03-25,Cancelled,623,8632.74,Cash
389,2024-01-18,2024-01-18,Cancelled,728,679.99,Credit Card
390,2024-01-01,2024-01-01,Cancelled,905,5582.34,Credit Card
391,2024-07-07,2024-07-07,On Hold,586,4415.12,PayPal
392,2024-11-25,2024-11-25,Cancelled,955,2194.41,PayPal
393,2024-10-05,2024-10-05,Shipped,542,3135.4,Bank Transfer
394,2024-02-19,2024-02-19,Cancelled,862,1416.39,Bank Transfer
395,2024-06-05,2024-06-05,Shipped,496,7609.8,Cash
396,2024-09-10,2024-09-10,On Hold,828,6865.24,Cash
397,2024-05-09,2024-05-09,Shipped,188,277.79,Cash
398,2024-09-02,2024-09-02,Shipped,647,2541.55,Bank Transfer
399,2024-09-04,2024-09-04,Shipped,856,7347.34,PayPal
400,2024-01-09,2024-01-09,On Hold,667,918.23,Cash
401,2024-06-30,2024-06-30,Shipped,983,7848.34,Bank Transfer
402,2024-11-25,2024-11-25,Processing,473,3553.35,Cash
403,2024-05-31,2024-05-31,On Hold,372,1088.82,Bank Transfer
404,2024-02-13,2024-02-13,On Hold,201,1291.52,Cash
405,2024-03-31,2024-03-31,Cancelled,155,8132.09,PayPal
406,2024-09-23,2024-09-23,Shipped,809,3529.7,Bank Transfer
407,2024-06-05,2024-06-05,On Hold,205,4092.55,Bank Transfer
408,2024-10-12,2024-10-12,Processing,165,9367.42,Cash
409,2024-01-20,2024-01-20,Shipped,415,4117.41,PayPal
410,2024-06-21,2024-06-21,On Hold,916,3476.98,Bank Transfer
411,2024-11-20,2024-11-20,Shipped,582,4832.5,PayPal
412,2024-11-15,2024-11-15,Shipped,877,2952.55,Bank Transfer
413,2024-01-17,2024-01-17,Processing,552,4717.63,Bank Transfer
414,2024-03-06,2024-03-06,Shipped,304,8192.94,Cash
